Name,RA_hms,DEC_dms,RA,DEC,us,gs,rs,is,zs,Type,SpType,fname,Gaia_DR3_ID,Variability
WD0859-039,09:02:17.30,-04:06:55.45,135.57208,-4.1154028,12.841,12.979,13.401,13.736,14.096,Secondary,DA2,V2.SPSS307.ascii,5762406957886626816,Constant
GD108,10:00:47.37,-07:33:30.50,150.19737,-7.5584722,13.198,13.328,13.772,14.099,14.431,Primary,B,V2.SPSS010.ascii,3772994667772794112,Constant
LTT3864,10:32:13.60,-35:37:41.80,158.05667,-35.628278,13.229,12.366,12.027,11.915,11.898,Primary,F,V2.SPSS041.ascii,5444093531284061568,Constant
WD1031-114,10:33:42.76,-11:41:38.35,158.42817,-11.693986,12.619,12.801,13.236,13.566,13.910,Secondary,DA2,V2.SPSS119.ascii,3754712881779364992,Constant
WD1034+001,10:37:03.81,-00:08:19.30,159.26587,-0.13869444,12.416,12.916,13.490,13.901,14.288,Secondary,DOZ1,V2.SPSS308.ascii,3806885288337214848,Constant
Feige34,10:39:36.74,43:06:09.25,159.90308,43.102569,10.420,10.871,11.411,11.777,12.152,Primary,DO,V2.SPSS011.ascii,781164326766404736,Constant
WD1105-048,11:07:59.95,-05:09:25.90,166.99979,-5.1571944,13.193,12.953,13.260,13.541,13.850,Secondary,DA3,V2.SPSS121.ascii,3788194488314248832,Constant
SDSS09310,11:38:02.62,57:29:23.89,174.51092,57.489969,16.003,15.093,14.989,15.011,15.082,Secondary,A0/F3,V2.SPSS320.ascii,845789153480087936,Constant
LTT4364,11:45:42.92,-64:50:29.46,176.42883,-64.841517,11.778,11.518,11.479,11.556,11.709,Primary,DQ6,V2.SPSS012.ascii,5332606522595645952,Constant
Feige56,12:06:47.23,11:40:12.64,181.69679,11.670178,11.179,10.867,11.207,11.494,11.741,Primary,B5p,V2.SPSS026.ascii,3918811315733520640,Constant
HD106355,12:14:10.53,-17:14:20.19,183.54387,-17.238942,12.858,10.660,9.716,9.358,9.119,Secondary,G8IV,V2.SPSS129.ascii,3520997013687539712,Constant
Feige66,12:37:23.52,25:03:59.87,189.348,25.066631,9.901,10.228,10.750,11.134,11.505,Primary,O,V2.SPSS013.ascii,3959631234670040704,Constant
SA104-428,12:41:41.28,-00:26:26.20,190.422,-0.44061111,15.087,13.105,12.324,12.063,11.911,Secondary,G8,V2.SPSS314.ascii,3695913095870312576,Constant
SA104-490,12:44:33.46,-00:25:51.70,191.13942,-0.43102778,13.902,12.788,12.441,12.367,12.378,Secondary,G3,V2.SPSS315.ascii,3683915053189161728,Constant
GD153,12:57:02.33,22:01:52.52,194.25971,22.031256,12.692,13.072,13.594,13.984,14.361,Pillar,DA1,V2.SPSS003.ascii,3944400490365194368,Constant
G14-24,13:02:01.58,-02:05:21.42,195.50658,-2.0892833,14.275,13.160,12.570,12.339,12.226,Secondary,K0,V2.SPSS130.ascii,3685507214745543040,Constant
GJ2097,13:07:04.31,20:48:38.54,196.76796,20.810706,15.946,13.237,11.822,10.797,10.289,Secondary,M1,V2.SPSS334.ascii,3943234217765374336,Constant
HZ44,13:23:35.26,36:07:59.51,200.89692,36.133197,10.971,11.382,11.904,12.307,12.685,Primary,O,V2.SPSS014.ascii,1473687671071803520,Constant
SA105-663,13:37:30.34,-00:13:17.37,204.37642,-0.22149167,9.929,8.861,8.729,8.708,8.799,Primary,F2,V2.SPSS028.ascii,3662718736748087424,Constant
GJ521,13:39:24.10,46:11:11.37,204.85042,46.186492,13.520,10.948,9.645,8.752,8.301,Secondary,M2,V2.SPSS336.ascii,1503625448550796032,Constant
HD121968,13:58:51.17,-02:54:52.32,209.71321,-2.9145333,9.950,10.034,10.437,10.752,11.052,Primary,B1,V2.SPSS030.ascii,3657546118655166080,Constant
WD1408+323,14:10:26.95,32:08:36.10,212.61229,32.143361,13.912,13.828,14.185,14.491,14.827,Secondary,DA3,V2.SPSS248.ascii,1478363619145920640,
SDSS09626,14:29:51.06,39:28:25.43,217.46275,39.473731,16.082,15.007,15.047,15.151,15.247,Secondary,A0,V2.SPSS324.ascii,1487827631122772992,Constant
G15-10,15:09:46.02,-04:45:06.61,227.44175,-4.7518361,13.232,12.320,11.803,11.610,11.548,Secondary,G2,V2.SPSS132.ascii,6335641365117256192,Constant
WD1509+322,15:11:27.66,32:04:17.80,227.86525,32.071611,14.265,14.005,14.292,14.565,14.860,Secondary,DA3,V2.SPSS250.ascii,1276688069644366592,Constant
M5-S1490,15:17:38.64,02:02:25.60,229.411,2.0404444,16.328,14.575,13.795,13.478,13.308,Secondary,,V2.SPSS313.ascii,4421525074384092032,Constant
G167-50,15:35:31.55,27:51:02.20,233.88146,27.850611,14.829,13.834,13.294,13.092,13.016,Secondary,G,V2.SPSS191.ascii,1272306378368710528,Constant
SA107-544,15:36:48.10,-00:15:07.11,234.20042,-0.251975,10.339,9.157,8.970,8.946,8.986,Primary,F3,V2.SPSS032.ascii,4416639085227405952,Constant
